#TYPE Microsoft.GroupPolicy.GpoBackup
"DisplayName","GpoId","Id","BackupDirectory","CreationTime","DomainName","Comment"
"ok - Logon Script Internet Explorer","437fe430-4c00-48b3-ac37-792002b0ae57","c6f70fbc-b7cf-48f2-accd-8834396174b8","\\dd2500\Backups\GP","2/26/2018 1:12:01 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Windows 10 Proxy Disabled for laptops","465ba875-8a23-4503-8c76-4cfffaffbfa1","bcabdea3-9f75-4417-af84-44df4bc6d855","\\dd2500\Backups\GP","2/26/2018 1:12:14 AM","deltabank.co.yu","Weekly GP Backup"
"test - BitLockerTest","4c7f8029-b56c-41f5-a4a6-d3b3f805bdde","a7b5e808-f71f-4f54-a5f4-a6b8a8937cd9","\\dd2500\Backups\GP","2/26/2018 1:13:01 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Osnovna sredstva","4d45e334-9fc6-4827-888a-841150eba6de","ebaa74a4-aa38-40b0-82b6-caa7ebe1cb71","\\dd2500\Backups\GP","2/26/2018 1:13:08 AM","deltabank.co.yu","Weekly GP Backup"
"ok - RD Session Time Limits","4db051c5-560d-43da-a21c-298f1cec98db","0fa1056b-93e3-42fc-94c1-42b0838438da","\\dd2500\Backups\GP","2/26/2018 1:13:24 AM","deltabank.co.yu","Weekly GP Backup"
"ok - DC Polisa Dodatna podesavanja","51d2c1cf-8553-4684-b1ca-0ad689a83278","a7567683-8df6-4ad7-8052-a26794b5de47","\\dd2500\Backups\GP","2/26/2018 1:13:31 AM","deltabank.co.yu","Weekly GP Backup"
"Pilot - Proxy Automatically detect settings","57a24bb4-a76b-4e3c-a514-65c50ccd6d57","071bfbfe-bda9-4d29-86b8-fbd6ac799ff9","\\dd2500\Backups\GP","2/26/2018 1:13:46 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Disable Computer Restart","581388c4-93b9-44a9-bd57-153bc5107b66","9a4dd7de-6b22-48ce-a9e2-0b5079dc6f46","\\dd2500\Backups\GP","2/26/2018 1:14:07 AM","deltabank.co.yu","Weekly GP Backup"
"Pilot - Mcafee Proxy Service","5d1cbf50-9733-4434-afb8-ab8822f49a4a","4d1ddf10-b5cb-4341-b11d-13f2bcad9673","\\dd2500\Backups\GP","2/26/2018 1:14:23 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Lync Autostart","5d74d0a4-d7a5-4a3d-876a-e676074a3676","3084447d-a691-445e-88bc-f4609e16971b","\\dd2500\Backups\GP","2/26/2018 1:15:05 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - FC1","5e2403a5-f05f-43bb-b34c-b3a917ee742c","d96c44a4-f188-4867-bc02-283ed8684219","\\dd2500\Backups\GP","2/26/2018 1:15:15 AM","deltabank.co.yu","Weekly GP Backup"
"ok - BoldonJames polisa","60fb111f-cf9f-45af-bad1-1872142ffb3a","bbd838b4-a98c-4ee1-afbb-ff7179a5b240","\\dd2500\Backups\GP","2/26/2018 1:15:44 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - FC3","6192725c-cb6c-4b31-9992-44314becae03","e7370e01-840b-47bf-8680-ce9aad27b826","\\dd2500\Backups\GP","2/26/2018 1:15:54 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix R: drive Develop","63122c29-45a3-4cb9-b2f2-98c57ed1c54f","36807d7d-999e-43c8-95ec-00455335dcb5","\\dd2500\Backups\GP","2/26/2018 1:16:23 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Default Domain Controllers Policy","6ac1786c-016f-11d2-945f-00c04fb984f9","4c5cf5d9-08b3-4602-bf59-4bef3dfe0c38","\\dd2500\Backups\GP","2/26/2018 1:16:38 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Limit Number of Terminal Server Sessions","6db05ef5-a201-4a29-a612-a24d12b6841e","f2596bb1-31df-4f82-933b-811474a34adf","\\dd2500\Backups\GP","2/26/2018 1:17:01 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy Training","6ded12a4-27c3-4e99-9630-c80b0005359a","dddc6df2-ab2f-4290-91db-a8eed5d496cd","\\dd2500\Backups\GP","2/26/2018 1:17:16 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Wireless Policy","6f36dc8a-a5ac-401c-83a1-142b5e0ff624","a30af0d0-9360-4573-9d3a-64403ec4a06d","\\dd2500\Backups\GP","2/26/2018 1:17:43 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service with IE11 Settings AML SSL","718c3b49-2684-4e6a-aaa8-51327bc20503","f6ad50f4-c999-4c42-90f6-d65a62adf63f","\\dd2500\Backups\GP","2/26/2018 1:17:53 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service","732d09fe-075e-4ce7-ada0-2f8cfa50155a","a89c5bb7-d605-4324-955d-96c0d743a2b5","\\dd2500\Backups\GP","2/26/2018 1:18:38 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Internet Explorer Security - Local Intranet Zone","7402dae8-fc1a-4906-ae20-7f9b23c3e312","69a4f111-137b-43cf-a957-38a09e1ee82e","\\dd2500\Backups\GP","2/26/2018 1:19:20 AM","deltabank.co.yu","Weekly GP Backup"
"ok ? ServersBasicPolicy","74223b23-2c6b-4f12-845e-4c462d5761db","9ba1d339-e2fb-459b-993f-d20794499d0f","\\dd2500\Backups\GP","2/26/2018 1:19:27 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service Disabled  with IE11 Settings","78e9acba-a9b6-4bb2-ac13-c991b1f8079f","6c756d91-20f5-4079-b4fd-1aa24cdb4acb","\\dd2500\Backups\GP","2/26/2018 1:19:45 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service with IE11 Settings no Certificate Revocation check","79b2dea4-8935-4e82-a699-e1fe5b3d6082","1188c199-82cb-4bcc-9141-de4a79f79b44","\\dd2500\Backups\GP","2/26/2018 1:20:36 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix R: drive","7a841e0b-83d9-4bb2-9231-04f832974d9a","cd61806a-9cb9-4daa-938f-e9316342d2eb","\\dd2500\Backups\GP","2/26/2018 1:21:23 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service AML SSL","7accb3e6-4be9-4739-9156-f83a91976062","448d9182-d9d8-4350-88a0-3aeca71c5369","\\dd2500\Backups\GP","2/26/2018 1:21:42 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service za Kontakt Centar","7eb9d26c-1f02-4abc-acce-b8f8ae8fc394","6225ed81-1623-4285-a267-6826a429ce08","\\dd2500\Backups\GP","2/26/2018 1:22:25 AM","deltabank.co.yu","Weekly GP Backup"
"ok - MBAM","82dd06f1-5429-40cb-8e0d-61bf1881ee92","d4ebef4f-64a8-4664-9fa0-4ae983eb7397","\\dd2500\Backups\GP","2/26/2018 1:23:05 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live Maintenance","85cd9045-b27f-43c1-8c52-87aeb2640ac4","ddc80638-3883-48b3-b8b6-ec309c88b7e4","\\dd2500\Backups\GP","2/26/2018 1:23:16 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Logon Locally for Outsource Programmers","8828bdc1-870f-4310-9b7a-ca66b6bb619c","9d93e136-b4ba-4e03-ba05-87dfd67e9fcc","\\dd2500\Backups\GP","2/26/2018 1:23:38 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Domain Password Policy","886bf071-d784-4b34-bf98-8a798c1007f9","44d04332-72dc-432b-9e43-e6476e422fe4","\\dd2500\Backups\GP","2/26/2018 1:23:48 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix R: drive Maintenance","88985ab3-7b1a-4d6a-af0e-9b43797fc251","183c4d52-74e9-4d48-b331-0cb7c6f96929","\\dd2500\Backups\GP","2/26/2018 1:24:02 AM","deltabank.co.yu","Weekly GP Backup"
