"oCiType","oName","LocId","osType","osName","Domain","Operating_System"
"OS.VM","MOBICORPAPP2","PRM.CED","OS.VM","MOBICORPAPP2","deltabank","Microsoft Windows 2016 Standard"
"OS.VM","UBS-KIB","SRB.BGD.SS","OS.VM","UBS-KIB","WORKGROUP","Microsoft Windows 2012 R2 Standard"
"OS.VM","DMZ-APP-01","PRM.CED","OS.VM","DMZ-APP-01","WORKGROUP","Microsoft Windows 2012 R2 Standard"
"OS.VM","mx-out-01","PRM.CED","OS.VM","mx-out-01","DMZ","CentOS 6.9 (x86_64)"
"OS.VM","OCR7-PS-08","PRM.CED","OS.VM","OCR7-PS-08","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","XENAPP-075","PRM.CED","OS.VM","XENAPP-075","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","ADFSNLB1","SRB.BGD.SS","OS.VM","ADFSNLB1","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","sftp-01","SRB.BGD.SS","OS.VM","sftp-01","DMZ","CentOS 6.9 (x86_64)"
"OS.VM","netiis","SRB.BGD.SS","OS.VM","netiis","deltabank","CentOS 5.5 (x86_64)"
"OS.VM","XENAPP-117","PRM.CED","OS.VM","XENAPP-117","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","XENAPP-002","PRM.CED","OS.VM","XENAPP-002","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","XENAPP-DC2","PRM.CED","OS.VM","XENAPP-DC2","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","EDMS02","PRM.CED","OS.VM","EDMS02","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","VPNEBANK1","PRM.CED","OS.VM","VPNEBANK1","ebank","Microsoft Windows 2012 R2 Standard"
"OS.VM","XENAPP-040","PRM.CED","OS.VM","XENAPP-040","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","TICATAURORA","PRM.CED","OS.VM","TICATAURORA","deltabank","Microsoft Windows 2008 R2 Standard"
"OS.VM","se-bg-sc","SRB.BGD.SS","OS.VM","se-bg-sc","DELTABANK","CentOS 6.5 (i686)"
"OS.VM","vra-01","SRB.BGD.SS","OS.VM","vra-01","deltabank","VMware Photon OS 2.0 (x86_64)"
"OS.VM","DEV_NLB11","PRM.CED","OS.VM","DEV_NLB11","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","TRE-202-PTA1","SRB.BGD.SS","OS.VM","TRE-202-PTA1","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","MOBI-WEB-2","PRM.CED","OS.VM","MOBI-WEB-2","WORKGROUP","Microsoft Windows 2008 R2 Standard"
"OS","BACKUP-NODE2","SRB.BGD.SS","OS","BACKUP-NODE2","deltabank","Microsoft Windows 2008 R2 Enterprise"
"OS.VM","PRGMAS01","PRM.CED","OS.VM","PRGMAS01","deltabank","Microsoft Windows XP Professional"
"OS.VM","ns1","PRM.CED","OS.VM","ns1","DMZ","CentOS 6.9 (i686)"
"OS.VM","SE-BG-SQL","SRB.BGD.SS","OS.VM","SE-BG-SQL","deltabank","Microsoft Windows 2008 R2 Enterprise"
"OS.VM","XENAPP-105","PRM.CED","OS.VM","XENAPP-105","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","XENAPP-034","PRM.CED","OS.VM","XENAPP-034","deltabank","Microsoft Windows 2003 Standard"
"OS","dlp-db2","SRB.BGD.SS","OS","dlp-db2","deltabank","Red Hat Enterprise Linux 6.5 (x86_64)"
"OS.VM","mail-in-02","SRB.BGD.SS","OS.VM","mail-in-02","DMZ","CentOS Linux 7.0 (x86_64)"
"OS.VM","mail-out-01","SRB.BGD.SS","OS.VM","mail-out-01","DMZ","CentOS Linux 7.0 (x86_64)"
"OS.VM","DLP-MAIL2","SRB.BGD.SS","OS.VM","DLP-MAIL2","WORKGROUP","Microsoft Windows 2012 Standard"
"OS.VM","OB-ADAPTER1","PRM.CED","OS.VM","OB-ADAPTER1","ebank","Microsoft® Windows ® 2008 Standard"
"OS.VM","XENAPP-074","PRM.CED","OS.VM","XENAPP-074","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","pa-nessus","PRM.CED","OS.VM","pa-nessus","deltabank","CentOS 5 server edition"
"OS.VM","XENAPP-DC1","PRM.CED","OS.VM","XENAPP-DC1","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","ns2","PRM.CED","OS.VM","ns2","DMZ","CentOS 6.9 (i686)"
"OS","ONLINE-NODE21","PRM.CED","OS","ONLINE-NODE21","online","Microsoft Windows 2012 R2 Standard"
"OS.VM","DCEBANK92","PRM.CED","OS.VM","DCEBANK92","ebank","Microsoft Windows 2016 Standard"
"OS.VM","WRPSQLNODE1","PRM.CED","OS.VM","WRPSQLNODE1","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","INTCOMM02","SRB.BGD.SS","OS.VM","INTCOMM02","deltabank","Microsoft Windows 2008 R2 Standard"
"OS.VM","XENAPP-120","PRM.CED","OS.VM","XENAPP-120","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","OBR7-MAS-26","PRM.CED","OS.VM","OBR7-MAS-26","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","EPOSERVER12","SRB.BGD.SS","OS.VM","EPOSERVER12","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","DBPARMA","PRM.CED","OS.VM","DBPARMA","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","LIBRASRV","PRM.CED","OS.VM","LIBRASRV","deltabank","Microsoft Windows 2008 R2 Standard"
