"Date","IP","Error"
"9/19/2018 10:28:59AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:07AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:29:53AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:00AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:08AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:32AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:36AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:30:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:11AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:22AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:27AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:35AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:40AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:50AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:31:56AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:12AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:19AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:24AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:35AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:39AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:46AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:49AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:54AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:32:58AM","10.35.159.35","8281   DR SERVFAIL"
"9/19/2018 10:33:04AM","10.35.159.35","8281   DR SERVFAIL"
