#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.AnnotationManagement.AnnotationImpl
"Value","AnnotatedEntity"
"Sat Jul 08 22:16:58 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-059"
"Sat Jul 08 22:14:27 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-093"
"Sat Jul 08 22:02:10 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-020"
"Sat Jul 08 22:36:48 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-010"
"Sat Jul 08 22:16:22 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-057"
"Sat Jul 08 22:02:22 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-024"
"Sat Jul 08 22:02:25 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-067"
"Thu Jul 20 18:01:53 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Xenapp-PP-001"
"Sat Jul 08 22:02:13 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-019"
"Sat Jul 08 22:02:02 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-017"
"Sat Jul 08 22:17:06 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-070"
"Thu Jul 20 18:38:00 2017
,bib-master,vmware_noprod_be-vce-bib_daily","XenApp-001"
"Sat Jul 08 22:32:19 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-006"
"Mon Jul 17 11:54:43 2017
,bib-master,spot_vmware_noprod_be-vce-bib","XenApp-052"
"Sat Jul 08 22:02:23 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-027"
"Sat Jul 08 22:02:03 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-015"
"Sat Jul 08 22:17:34 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-073"
"Sat Jul 08 23:17:56 2017
,bib-master,vmware_noprod_be-vce-bib_weekly","XenApp-049"
"Thu Jul 20 18:15:52 2017
,bib-master,vmware_noprod_be-vce-bib_daily","CW-WEB-01"
