"Name","Path"
"DMZ","vm\DMZ"
"Discovered virtual machine","vm\Discovered virtual machine"
"Local Monday","vm\Local Monday"
"Local Thursday","vm\Local Thursday"
"Local Tuesday","vm\Local Tuesday"
"No Backup","vm\No Backup"
"Security Saturday","vm\Security Saturday"
"Security Sunday","vm\Security Sunday"
